Model,Risk Category,Precision,Recall,F1 Score,Support
Logistic Regression,financial_risk,0.9582278481012658,0.9427148194271482,0.9504080351537979,803.0
Logistic Regression,credential_risk,0.9972144846796658,1.0,0.99860529986053,358.0
Logistic Regression,customer_info_risk,1.0,1.0,1.0,360.0
Logistic Regression,proprietary_risk,0.9655172413793104,1.0,0.9824561403508771,196.0
Logistic Regression,legal_risk,0.9920838183934808,0.998126024830171,0.9950957496496964,4269.0
Logistic Regression,attachment_risk,0.9970501474926253,1.0,0.9985228951255539,338.0
Logistic Regression,phishing_spam_risk,0.9914493373236426,0.9910256410256411,0.9912374438982688,4680.0
Random Forest,financial_risk,0.994729907773386,0.9402241594022416,0.9667093469910372,803.0
Random Forest,credential_risk,1.0,0.9888268156424581,0.9943820224719101,358.0
Random Forest,customer_info_risk,1.0,1.0,1.0,360.0
Random Forest,proprietary_risk,1.0,0.9591836734693877,0.9791666666666666,196.0
Random Forest,legal_risk,0.9988251879699248,0.9957835558678847,0.9973020527859238,4269.0
Random Forest,attachment_risk,1.0,1.0,1.0,338.0
Random Forest,phishing_spam_risk,0.9967679379444085,0.9884615384615385,0.9925973607981976,4680.0
SVM,financial_risk,0.9726402188782489,0.8854296388542964,0.9269882659713168,803.0
SVM,credential_risk,0.988950276243094,1.0,0.9944444444444445,358.0
SVM,customer_info_risk,0.9917355371900827,1.0,0.995850622406639,360.0
SVM,proprietary_risk,0.9849246231155779,1.0,0.9924050632911392,196.0
SVM,legal_risk,0.9703804966962861,0.9976575310377137,0.9838299838299839,4269.0
SVM,attachment_risk,0.9912023460410557,1.0,0.9955817378497791,338.0
SVM,phishing_spam_risk,0.9882453515708485,0.9880341880341881,0.9881397585212095,4680.0
XGBoost,financial_risk,0.9882659713168188,0.9439601494396015,0.9656050955414013,803.0
XGBoost,credential_risk,1.0,0.9972067039106145,0.9986013986013986,358.0
XGBoost,customer_info_risk,0.997229916897507,1.0,0.9986130374479889,360.0
XGBoost,proprietary_risk,0.9948717948717949,0.9897959183673469,0.9923273657289002,196.0
XGBoost,legal_risk,0.9985915492957746,0.9964862965565706,0.9975378121702427,4269.0
XGBoost,attachment_risk,1.0,1.0,1.0,338.0
XGBoost,phishing_spam_risk,0.9868873602751504,0.9809829059829059,0.9839262751821689,4680.0
Neural Network,financial_risk,0.9766839378238342,0.9389788293897883,0.9574603174603175,803.0
Neural Network,credential_risk,1.0,1.0,1.0,358.0
Neural Network,customer_info_risk,1.0,1.0,1.0,360.0
Neural Network,proprietary_risk,1.0,1.0,1.0,196.0
Neural Network,legal_risk,0.9874855156431055,0.998126024830171,0.9927772600186393,4269.0
Neural Network,attachment_risk,0.9970501474926253,1.0,0.9985228951255539,338.0
Neural Network,phishing_spam_risk,0.9942356959863364,0.9950854700854701,0.9946604015378043,4680.0
