,precision,recall,f1-score,support
financial_risk,0.061957868649318466,0.062266500622665005,0.062111801242236024,803.0
credential_risk,0.02608695652173913,0.025139664804469275,0.025604551920341393,358.0
customer_info_risk,0.045454545454545456,0.04722222222222222,0.04632152588555858,360.0
proprietary_risk,0.0049504950495049506,0.00510204081632653,0.005025125628140704,196.0
legal_risk,0.2976580796252927,0.2977278051065823,0.29769293828317134,4269.0
attachment_risk,0.047619047619047616,0.047337278106508875,0.04747774480712166,338.0
phishing_spam_risk,0.33506268914829224,0.3311965811965812,0.3331184182248012,4680.0
micro avg,0.26587591240875913,0.26481279534714647,0.2653432890183937,11004.0
macro avg,0.1169699545811058,0.11657029898219363,0.11676458657019584,11004.0
weighted avg,0.2663864228992317,0.26481279534714647,0.26559393933975367,11004.0
samples avg,0.20158060363324273,0.20107995994850522,0.1996137891574882,11004.0
