,precision,recall,f1-score,support
financial_risk,0.9582278481012658,0.9427148194271482,0.9504080351537979,803.0
credential_risk,0.9972144846796658,1.0,0.99860529986053,358.0
customer_info_risk,1.0,1.0,1.0,360.0
proprietary_risk,0.9655172413793104,1.0,0.9824561403508771,196.0
legal_risk,0.9920838183934808,0.998126024830171,0.9950957496496964,4269.0
attachment_risk,0.9970501474926253,1.0,0.9985228951255539,338.0
phishing_spam_risk,0.9914493373236426,0.9910256410256411,0.9912374438982688,4680.0
micro avg,0.989477503628447,0.9912758996728462,0.9903758852369712,11004.0
macro avg,0.9859346967671415,0.9902666407547086,0.9880465091483892,11004.0
weighted avg,0.9894486365048988,0.9912758996728462,0.9903485536476037,11004.0
samples avg,0.7137629332951889,0.715777428121871,0.7144304582081725,11004.0
