,precision,recall,f1-score,support
financial_risk,0.9766839378238342,0.9389788293897883,0.9574603174603175,803.0
credential_risk,1.0,1.0,1.0,358.0
customer_info_risk,1.0,1.0,1.0,360.0
proprietary_risk,1.0,1.0,1.0,196.0
legal_risk,0.9874855156431055,0.998126024830171,0.9927772600186393,4269.0
attachment_risk,0.9970501474926253,1.0,0.9985228951255539,338.0
phishing_spam_risk,0.9942356959863364,0.9950854700854701,0.9946604015378043,4680.0
micro avg,0.9909288824383164,0.9927299163940385,0.9918285818049755,11004.0
macro avg,0.9936364709922716,0.9903129034722041,0.9919172677346164,11004.0
weighted avg,0.9909013881698943,0.9927299163940385,0.9917773696555404,11004.0
samples avg,0.7168144757545416,0.7169217565441282,0.7168502360177371,11004.0
