Model,Risk Category,Precision,Recall,F1,Support
DistilBERT,financial_risk,0.9962779156327544,0.9889162561576355,0.992583436341162,812
DistilBERT,credential_risk,0.9971014492753624,1.0,0.9985486211901307,344
DistilBERT,customer_info_risk,1.0,1.0,1.0,374
DistilBERT,proprietary_risk,0.9950980392156863,0.9854368932038835,0.9902439024390244,206
DistilBERT,legal_risk,0.9985941893158388,0.9988282165455824,0.9987111892208553,4267
DistilBERT,attachment_risk,1.0,1.0,1.0,336
DistilBERT,phishing_spam_risk,0.9939563997409886,0.9881974248927039,0.9910685462175831,4660
Random Forest,financial_risk,0.9776902887139107,0.9174876847290641,0.9466327827191868,812
Random Forest,credential_risk,1.0,0.9941860465116279,0.9970845481049563,344
Random Forest,customer_info_risk,1.0,0.9973262032085561,0.998661311914324,374
Random Forest,proprietary_risk,1.0,1.0,1.0,206
Random Forest,legal_risk,0.9878928987194412,0.9943754394187954,0.9911235692595188,4267
Random Forest,attachment_risk,1.0,0.9910714285714286,0.9955156950672646,336
Random Forest,phishing_spam_risk,0.9928260869565217,0.9800429184549356,0.9863930885529157,4660
Neural Network,financial_risk,0.9665379665379665,0.9248768472906403,0.9452485840151038,812
Neural Network,credential_risk,0.9913544668587896,1.0,0.9956584659913169,344
Neural Network,customer_info_risk,1.0,1.0,1.0,374
Neural Network,proprietary_risk,0.9951690821256038,1.0,0.9975786924939467,206
Neural Network,legal_risk,0.9941410827279119,0.9941410827279119,0.9941410827279119,4267
Neural Network,attachment_risk,1.0,0.9970238095238095,0.9985096870342772,336
Neural Network,phishing_spam_risk,0.9846678023850085,0.992274678111588,0.9884566053869175,4660
Logistic Regression,financial_risk,0.9136690647482014,0.9384236453201971,0.9258809234507898,812
Logistic Regression,credential_risk,0.9828571428571429,1.0,0.9913544668587896,344
Logistic Regression,customer_info_risk,1.0,1.0,1.0,374
Logistic Regression,proprietary_risk,0.9856459330143541,1.0,0.9927710843373494,206
Logistic Regression,legal_risk,0.9883855981416957,0.9971877197093977,0.9927671488567429,4267
Logistic Regression,attachment_risk,1.0,1.0,1.0,336
Logistic Regression,phishing_spam_risk,0.9892519346517626,0.9875536480686695,0.9884020618556701,4660
XGBoost,financial_risk,0.9936908517350158,0.7758620689655172,0.8713692946058091,812
XGBoost,credential_risk,1.0,0.9912790697674418,0.9956204379562044,344
XGBoost,customer_info_risk,1.0,1.0,1.0,374
XGBoost,proprietary_risk,1.0,1.0,1.0,206
XGBoost,legal_risk,0.9058898847631242,0.9948441528005625,0.9482854908969061,4267
XGBoost,attachment_risk,1.0,0.9940476190476191,0.9970149253731343,336
XGBoost,phishing_spam_risk,0.9863013698630136,0.9424892703862661,0.9638977285196971,4660
SVM,financial_risk,0.9285714285714286,0.8325123152709359,0.8779220779220779,812
SVM,credential_risk,0.9885057471264368,1.0,0.9942196531791907,344
SVM,customer_info_risk,0.9946808510638298,1.0,0.9973333333333333,374
SVM,proprietary_risk,0.9951690821256038,1.0,0.9975786924939467,206
SVM,legal_risk,0.9673112338858195,0.9847668150925709,0.9759609801416792,4267
SVM,attachment_risk,1.0,1.0,1.0,336
SVM,phishing_spam_risk,0.9594535993061578,0.9495708154506438,0.9544866264020707,4660
