,precision,recall,f1-score,support
financial_risk,0.994729907773386,0.9402241594022416,0.9667093469910372,803.0
credential_risk,1.0,0.9888268156424581,0.9943820224719101,358.0
customer_info_risk,1.0,1.0,1.0,360.0
proprietary_risk,1.0,0.9591836734693877,0.9791666666666666,196.0
legal_risk,0.9988251879699248,0.9957835558678847,0.9973020527859238,4269.0
attachment_risk,1.0,1.0,1.0,338.0
phishing_spam_risk,0.9967679379444085,0.9884615384615385,0.9925973607981976,4680.0
micro avg,0.9977973568281938,0.9880043620501636,0.9928767123287672,11004.0
macro avg,0.9986175762411028,0.9817828204062158,0.9900224928162479,11004.0
weighted avg,0.9977850593389195,0.9880043620501636,0.9928218055456276,11004.0
samples avg,0.7131669289085968,0.7132026891717923,0.7131788489963286,11004.0
