,precision,recall,f1-score,support
financial_risk,0.9726402188782489,0.8854296388542964,0.9269882659713168,803.0
credential_risk,0.988950276243094,1.0,0.9944444444444445,358.0
customer_info_risk,0.9917355371900827,1.0,0.995850622406639,360.0
proprietary_risk,0.9849246231155779,1.0,0.9924050632911392,196.0
legal_risk,0.9703804966962861,0.9976575310377137,0.9838299838299839,4269.0
attachment_risk,0.9912023460410557,1.0,0.9955817378497791,338.0
phishing_spam_risk,0.9882453515708485,0.9880341880341881,0.9881397585212095,4680.0
micro avg,0.9802964569775849,0.9856415848782261,0.9829617545767627,11004.0
macro avg,0.9840112642478849,0.9815887654180283,0.9824628394735017,11004.0
weighted avg,0.980344719455038,0.9856415848782261,0.9827672849327718,11004.0
samples avg,0.7098316883612263,0.7113431554856243,0.7103180279406855,11004.0
