,precision,recall,f1-score,support
financial_risk,0.9882659713168188,0.9439601494396015,0.9656050955414013,803.0
credential_risk,1.0,0.9972067039106145,0.9986013986013986,358.0
customer_info_risk,0.997229916897507,1.0,0.9986130374479889,360.0
proprietary_risk,0.9948717948717949,0.9897959183673469,0.9923273657289002,196.0
legal_risk,0.9985915492957746,0.9964862965565706,0.9975378121702427,4269.0
attachment_risk,1.0,1.0,1.0,338.0
phishing_spam_risk,0.9868873602751504,0.9809829059829059,0.9839262751821689,4680.0
micro avg,0.9928636779505947,0.9861868411486732,0.9895139965350597,11004.0
macro avg,0.9951209418081494,0.9869188534652914,0.9909444263817286,11004.0
weighted avg,0.992838548425731,0.9861868411486732,0.9894711866221833,11004.0
samples avg,0.7114861965384065,0.7117722786439709,0.7115815572402612,11004.0
